model,name
090615.gateway.ktvrf,PTXZN
090615.plug.plus01,智能86插座(WIFI)
090615.switch.akstft,AK智能屏幕开关
090615.switch.x6wtft,X6智能中控屏开关
1245.airfresh.super2,土豆
1245.airfresh.super3,土豆
17216.massage.j6261a,joypal
17216.massage.jp3209,joypal智能AI按摩椅
666.curtain.gt01m,鲸橙智能窗帘
adp.fitting.adgw,艾达普
aimore.light.cw3201,智能冷暖吸顶灯
ainice.motion.bt,AInice人体传感器
ainice.sensor_occupy.3b,小米/米家设备型号、使用说明书查询工具，米家智能家居产品大全，Xiaomi
ainice.sensor_occupy.pr,小米/米家设备型号、使用说明书查询工具，米家智能家居产品大全，Xiaomi
airdog.airpurifier.mn,贝昂A5/MINI空气净化器
ateai.mosq.dakuo,达阔智能电蚊香
aupu.bhf_light.360ap,奥普空气管家Q360A-Pro
aupu.bhf_light.360xp,奥普空气管家浴霸Q360X-Pro
aupu.bhf_light.n80,奥普空气管家浴霸-N80Pro
aupu.bhf_light.s368m,奥普浴霸S368M
aupu.bhf_light.s368m2,奥普浴霸S368M
babai.airer.lyj01,Ai
babai.bhf_light.mk885,米科智能浴霸
babai.curtain.190812,智能窗帘电机CM(wifi直连)
babai.curtain.at5810,奥特威(AUTORAIL)窗帘电机
babai.curtain.bb82cb,Ai
babai.curtain.bb82mj,Ai
babai.curtain.m515e,Zemismart
babai.curtain.mtx850,满天馨智能窗帘
babai.curtain.yilc3,小益(Yi-LOCK)智能窗帘
babai.plug.sk01a,Babuy
babai.switch.203s,Ai
babai.switch.bb101s,Ai
babai.switch.bb102s,Ai
babai.switch.bb103s,Ai
babai.switch.th01a,ThoughtHome智能通断器
babai.wopener.82,辰阳开窗器
babai.wopener.83,艾德道开窗器
baomi.airpurifier.450a,豹米空气净化器2S
bean.curtain.bct01,智能开合帘电机V1-WiFi版
beihao.airer.airer3,向阳智能电动晾衣架
beihao.airer.lyj08,Ai
bj352.airp.y106cm,352空气净化器Y106C
bj352.waterpuri.k10,352净水器K10
bkrobo.chair.bc03,贝氪智能托腰办公椅
bofu.curtain.bfmh,梦幻垂直帘
bofu.curtain.normal,智能电动窗帘
careli.fryer.maf01,米家智能空气炸锅3.5L
careli.fryer.maf02,Mi
careli.fryer.maf03,米家智能空气炸锅3.5L
careli.fryer.maf03a,米家智能空气炸锅
careli.fryer.maf04,米家智能空气炸锅Pro
careli.fryer.maf05a,Xiaomi
careli.fryer.maf06a,米家智能空气炸锅
careli.fryer.maf07,Mi
careli.fryer.maf07c,米家智能空气炸锅
careli.fryer.maf10a,Xiaomi
cddz.plug.pc01w,Jiuhao电脑开机卡
cgllc.airm.cgd1st,青萍空气检测仪
cgllc.airm.cgdn1,青萍空气检测仪
chuangmi.camera.026c02,小米智能摄像机云台版SE+
chuangmi.camera.039a01,小米智能摄像机2
chuangmi.camera.039a04,Xiaomi
chuangmi.camera.039c01,小米智能摄像机2
chuangmi.camera.046c04,小米智能摄像机
chuangmi.camera.049a01,小米智能摄像机2
chuangmi.camera.051a01,小米智能摄像机2
chuangmi.camera.055a02,小白智能全景球机
chuangmi.camera.060a02,小白智能摄像机
chuangmi.camera.069a01,小米智能摄像机3
chuangmi.gateway.720,小白智能中央空调控制器
chuangmi.plug.212a01,米家智能插座2
chuangmi.vacuum.hmi707,IMILAB
chunmi.cooker.c301,米家智能小饭煲2
chunmi.cooker.eh3,米家智能小饭煲2
chunmi.cooker.r2,joyami
chunmi.cooker.r401,joyami
chunmi.cooker.wy3,米家智能电饭煲
chunmi.cooker.wy4,米家智能电饭煲
chunmi.cooker.ztw02,知吾煮1.6L
chunmi.cooker.zwz02,知吾煮1.6L电饭煲
chunmi.health_pot.a1,米家智能多功能养生壶
chunmi.ihcooker.slim,米家超薄电磁炉
chunmi.ihcooker.v2,米家电磁炉2
chunmi.juicer.uka1,Xiaomi
chunmi.microwave.n20l02,米家微波炉
chunmi.oven.s1,米家智能嵌入式蒸烤一体机S1
chunmi.oven.x02,米家智能蒸汽小烤箱
chunmi.pre_cooker.dylg5,米家智能电压力锅5L
chunmi.pre_cooker.mini1,米家智能电压力锅2.5L
chunmi.waterpuri.600f2,小米净水器H600G
chunmi.waterpuri.600j6,小米即热净水器Q600
chunmi.waterpuri.800f3,小米净水器H800G
chunmi.waterpuri.800f3p,小米净水器H800G
chunmi.ysj.tsa1,小米台式净饮机
chunmi.ysj.tsa1p,米家台式净饮机
chunmi.ysj.tsj7,米家台式净饮机
coc.dryer.fdpsm,清蜓智能便携干衣机
comely.light.wy0a01,新特丽智能灯饰
cubee.airrtc.1230e,希到-地暖（电）温控器
cubee.airrtc.1230t,希到-两联供温控器
cubee.airrtc.th123a,小米/米家设备型号、使用说明书查询工具，米家智能家居产品大全，Xiaomi
cubee.airrtc.th123e,Heatcold地暖(电)
cubee.airrtc.th123w,Heatcold地暖(水)
cubee.airrtc.th125t,Heatcold两联供
cuco.light.sl4,彩色智能灯带SL4
cuco.light.sl4a,智能灯带SL4
cuco.light.wb2mn,智能白灯WB2-M
cuco.light.wb5m,Gosund智能彩灯WB5-M
cuco.plug.co1,Gosund智能墙插CO1-M
cuco.plug.co1d,电小酷智能墙插CO1-M
cuco.plug.co3d,gosund
cuco.plug.cp1,gosund
cuco.plug.cp1m,Gosund智能插座CP1-AM(计电量)
cuco.plug.cp1md,gosund
cuco.plug.cp2,Gosund
cuco.plug.cp2a,Gosund智能插座CP2-AM
cuco.plug.cp2ad,gosund
cuco.plug.cp2d,gosund
cuco.plug.cp3a,Gosund智能插座CP3-AM
cuco.plug.cp3ad,gosund
cuco.plug.cp5d,gosund
cuco.plug.cp5prd,gosund
cuco.plug.cp5pro,Gosund智能排插CP5
cuco.plug.p8amd,gosund
cuco.plug.sp5,Gosund智能排插CP5
cuco.plug.v2eur,Xiaomi
cuco.plug.v3,米家智能插座3
cuco.plug.wp12,Gosund
cuco.plug.wp5m,Gosund智能插座WP5-AM(计电量)
cykj.hood.jyj22,米家智能净烟机P1
cykj.hood.jyjs1,米家智能净烟机S1
daolai.light.xd340,熠世华彩吸顶灯
dayang.mosq.qqtq4,俏蜻蜓智能电蚊香QQT-Q4
deerma.humidifier.ct500,德尔玛无雾加湿器
deerma.humidifier.jsq2g,米家智能除菌加湿器2
deerma.humidifier.jsq2w,Xiaomi
deerma.humidifier.jsq3,米家智能加湿器
